Item Code,Item Name,Total Projected Qty,Default Unit of Measure,Standard Selling Rate,Item Group,Auto Create Assets on Purchase,Minimum Order Qty,Allow Purchase
Series Connection Time Switch 24Hrs,Series Connection Time Switch 24Hrs,1,Nos,80,All Item Groups,1,1,1
Service Door Alignment Work,Service Door Alignment Work,,,,All Item Groups,1,1,1
Sevicol SH Wood Glue 10KG,Sevicol SH Wood Glue 10KG,1,Pcs,106,All Item Groups,1,1,1
"Sheer Curtain removal, pick & drop, damagedroller hook fixing & curtain belt restitching","Sheer Curtain removal, pick & drop, damagedroller hook fixing & curtain belt restitching",,,,All Item Groups,1,1,1
Shelf Support Pin Clear,Shelf Support Pin Clear,,,,All Item Groups,1,1,1
Shelf Support Pin White,Shelf Support Pin White,,,,All Item Groups,1,1,1
SHELLAC,SHELLAC,1,Pcs,5,All Item Groups,1,1,1
Shield,Shield,20,Pcs,2.4,All Item Groups,1,1,1
Shoes Cover Blue,Shoes Cover Blue,514,Pcs,0.42,All Item Groups,1,1,1
Shower Drain Unblocking Work,Shower Drain Unblocking Work,,,,All Item Groups,1,1,1
Shower Hinges DT400x200x25 C,Shower Hinges DT400x200x25 C,1,Nos,40,All Item Groups,1,1,1
Shower Screen reinstate,Shower Screen reinstate,,,,All Item Groups,1,1,1
Shower Screen removal,Shower Screen removal,,,,All Item Groups,1,1,1
Shutoff Replacement Work,Shutoff Replacement Work,,,,All Item Groups,1,1,1
Sika Aktivator - 205 1000ML,Sika Aktivator - 205 1000ML,1,Pcs,120,All Item Groups,1,1,1
Sikaflex -428 Precast Beige,Sikaflex -428 Precast Beige,37,Pcs,17.35,All Item Groups,1,1,1
Sika Flex -717 WS Black,Sika Flex -717 WS Black,20,Pcs,24,All Item Groups,1,1,1
Sika Solvent Based 1-Component Primer,Sika Solvent Based 1-Component Primer,1,Pcs,186,All Item Groups,1,1,1
Silica Sand White 0.5 to -1.0 MM,Silica Sand White 0.5 to -1.0 MM,300,Kg,0.91,All Item Groups,1,1,1
Silicon,Silicon,1,Nos,7.5,All Item Groups,1,1,1
Silicone Sealant Asmaco 2540-Beige 24Pcs,Silicone Sealant Asmaco 2540-Beige 24Pcs,5,CTN,120,All Item Groups,1,1,1
Silicone Sealant Asmaco 2540-Clear 24Pcs,Silicone Sealant Asmaco 2540-Clear 24Pcs,10,CTN,115,All Item Groups,1,1,1
Silicone Sealant Asmaco 2540-Cream 24Pcs,Silicone Sealant Asmaco 2540-Cream 24Pcs,5,CTN,120,All Item Groups,1,1,1
"Silicon Gun Long 15"" 600ML Clarke","Silicon Gun Long 15"" 600ML Clarke",1,Nos,38.1,All Item Groups,1,1,1
Simplex Double Profile Cylinder 35x35MM,Simplex Double Profile Cylinder 35x35MM,1,Nos,38.1,All Item Groups,1,1,1
Simplex FR Pass Lock / Big Strike PLT SSS,Simplex FR Pass Lock / Big Strike PLT SSS,1,Nos,37.62,All Item Groups,1,1,1
Simplex Lever Handle On Rose 2261 PZ Black Soft Tou,Simplex Lever Handle On Rose 2261 PZ Black Soft Tou,2,Pcs,190.72,All Item Groups,1,1,1
Single Deflection Linear Bar Grille ARLG-150,Single Deflection Linear Bar Grille ARLG-150,2,Nos,117.82,All Item Groups,1,1,1
Single Deflection Linear Bar Grille ARLG-200,Single Deflection Linear Bar Grille ARLG-200,4,Nos,180.6,All Item Groups,1,1,1
Single Door Standing Chiller,Single Door Standing Chiller,1,Nos,40,All Item Groups,1,1,1
Single Door Standing Freezer,Single Door Standing Freezer,1,Nos,40,All Item Groups,1,1,1
Sink & Grill Work,Sink & Grill Work,,,,All Item Groups,1,1,1
"Site enabling AC, electrical & joinery work","Site enabling AC, electrical & joinery work",,,,All Item Groups,1,1,1
Site Office Plumber Work,Site Office Plumber Work,,,,All Item Groups,1,1,1
Sizing Saw Pro MDF 300x3.2 30 Z96 TRF,Sizing Saw Pro MDF 300x3.2 30 Z96 TRF,1,Nos,205,All Item Groups,1,1,1
Skirting fixing & Floor tile grouting work,Skirting fixing & Floor tile grouting work,,,,All Item Groups,1,1,1
Skirting replacement work,Skirting replacement work,,,,All Item Groups,1,1,1
Skylight water proofing and Sealant work,Skylight water proofing and Sealant work,,,,All Item Groups,1,1,1
Sliding door lock replacement work,Sliding door lock replacement work,,,,All Item Groups,1,1,1
Slip Bend 20mm,Slip Bend 20mm,20,Pcs,1.9,All Item Groups,1,1,1
Slip Bend 25mm,Slip Bend 25mm,10,Pcs,2.2,All Item Groups,1,1,1
Slip Type Bend DD 25MM,Slip Type Bend DD 25MM,20,Nos,3,All Item Groups,1,1,1
Smart Hybird Light,Smart Hybird Light,1,Pcs,160,All Item Groups,1,1,1
Smell Issue Work,Smell Issue Work,,,,All Item Groups,1,1,1
Smell Rectification Work,Smell Rectification Work,,,,All Item Groups,1,1,1
SN66 Dishwasher Fully Intergrated,SN66 Dishwasher Fully Intergrated,1,Nos,2100,All Item Groups,1,1,1
Snagging work & additional work,Snagging work & additional work,,,,All Item Groups,1,1,1
Socket Legrand Cat-6,Socket Legrand Cat-6,1,Nos,38,All Item Groups,1,1,1
"Socket PVC 2""","Socket PVC 2""",2,Pcs,3,All Item Groups,1,1,1
Socket Wrench 1/4 inch,Socket Wrench 1/4 inch,1,Nos,120,All Item Groups,1,1,1
"Sofa, Water filter, wallpaper & maintenance work","Sofa, Water filter, wallpaper & maintenance work",,,,All Item Groups,1,1,1
Soft Brush Blk & Wht,Soft Brush Blk & Wht,1,Nos,8,All Item Groups,1,1,1
Soild Door Core 4x8x44MM,Soild Door Core 4x8x44MM,3,Pcs,115,All Item Groups,1,1,1
"Solid Block 4""","Solid Block 4""",45,Nos,3,All Item Groups,1,1,1
Solid Door Core 4x8x 44MM,Solid Door Core 4x8x 44MM,,,,All Item Groups,1,1,1
Solid Door Cores 4 x 8 x 38MM,Solid Door Cores 4 x 8 x 38MM,,,,All Item Groups,1,1,1
Solid Lever Handle On Square Rose W/Squre Wscutheon,Solid Lever Handle On Square Rose W/Squre Wscutheon,2,Nos,90,All Item Groups,1,1,1
Solid Manhole Cover 60x60 28kg,Solid Manhole Cover 60x60 28kg,1,Nos,112,All Item Groups,1,1,1
Soudal Fix All Crystal 290Ml,Soudal Fix All Crystal 290Ml,2,Nos,25,All Item Groups,1,1,1
Soudal Mirror Fix Silicone,Soudal Mirror Fix Silicone,,,,All Item Groups,1,1,1
Soudal Silirub 2 Clear 300Ml,Soudal Silirub 2 Clear 300Ml,2,Nos,16,All Item Groups,1,1,1
Sound Liner - 1/2 x 1.2w x 20 Mtr,Sound Liner - 1/2 x 1.2w x 20 Mtr,1,Nos,290,All Item Groups,1,1,1
SP-1032 Frame & Grate 12X12 (VIGO),SP-1032 Frame & Grate 12X12 (VIGO),2,Pcs,60,All Item Groups,1,1,1
Space Bar Saddle 20MM GI,Space Bar Saddle 20MM GI,50,Pcs,0.3,All Item Groups,1,1,1
Space Bar Saddle 25MM GI,Space Bar Saddle 25MM GI,150,Pcs,0.62,All Item Groups,1,1,1
Space Bar Saddle Decoduct 32MM,Space Bar Saddle Decoduct 32MM,20,Nos,1.2,All Item Groups,1,1,1
Spare Parts Set for Iconic,Spare Parts Set for Iconic,105,Nos,16.51,All Item Groups,1,1,1
Spary Paint Black,Spary Paint Black,1,Nos,5,All Item Groups,1,1,1
Sp Coil Ignition S/S,Sp Coil Ignition S/S,4,Nos,180,All Item Groups,1,1,1
specifying fees,specifying fees,,,,All Item Groups,1,1,1
SPIGOT 200 MM DIA,SPIGOT 200 MM DIA,6,Nos,4.7,All Item Groups,1,1,1
Spiral Wrapping Band Bendex SW 08,Spiral Wrapping Band Bendex SW 08,1,Nos,10,All Item Groups,1,1,1
SP MCB ABB 6KA 32A,SP MCB ABB 6KA 32A,1,Pcs,12,All Item Groups,1,1,1
SP MCB ABB 6KA 40A,SP MCB ABB 6KA 40A,1,Pcs,12,All Item Groups,1,1,1
Sponge,Sponge,4,Nos,1.85,All Item Groups,1,1,1
Spot Light GU10 Connector,Spot Light GU10 Connector,3,Pcs,3,All Item Groups,1,1,1
Spout Light Housing Square White 608S 90x75MM,Spout Light Housing Square White 608S 90x75MM,3,Nos,15,All Item Groups,1,1,1
Spray Adhesive AK Fix/Soudak 400Ml,Spray Adhesive AK Fix/Soudak 400Ml,1,Pcs,22,All Item Groups,1,1,1
Spray Bottle,Spray Bottle,2,Nos,19,All Item Groups,1,1,1
Spray Gun With Fluid Cup Dail .5mm 0.61,Spray Gun With Fluid Cup Dail .5mm 0.61,,,,All Item Groups,1,1,1
Spray Paint White,Spray Paint White,1,Nos,5,All Item Groups,1,1,1
SP Switch MK IP66 1G 2W 10A,SP Switch MK IP66 1G 2W 10A,1,Nos,65,All Item Groups,1,1,1
SP Switch MK IP66 2G1W 10A,SP Switch MK IP66 2G1W 10A,2,Pcs,71.5,All Item Groups,1,1,1
Square Pull 10x160mm Hollow SS Stain,Square Pull 10x160mm Hollow SS Stain,2,Pcs,10,All Item Groups,1,1,1
Square Pull 10x224mm Hollow SS Stain,Square Pull 10x224mm Hollow SS Stain,1,Nos,12,All Item Groups,1,1,1
SS316 CSK S/T Screw 4238,SS316 CSK S/T Screw 4238,12,Nos,0.95,All Item Groups,1,1,1
SS Allenkey Bolt 10x100,SS Allenkey Bolt 10x100,10,Nos,2.31,All Item Groups,1,1,1
SS Button Head Allen 80 MM With F/W25,SS Button Head Allen 80 MM With F/W25,4,Set,4.76,All Item Groups,1,1,1
"SS Cap 11/2""","SS Cap 11/2""",2,Nos,12,All Item Groups,1,1,1
"SS Cap 11/4""","SS Cap 11/4""",6,Pcs,11,All Item Groups,1,1,1
"SS Cutting Disc 4""","SS Cutting Disc 4""",4,Nos,3,All Item Groups,1,1,1
"SS Elbow 90 Deg 1"" MXF","SS Elbow 90 Deg 1"" MXF",4,Pcs,8,All Item Groups,1,1,1
"SS Elbow 90 Deg 11/2""","SS Elbow 90 Deg 11/2""",2,Nos,15,All Item Groups,1,1,1
"SS Elbow 90 Deg 11/4""","SS Elbow 90 Deg 11/4""",6,Nos,11.67,All Item Groups,1,1,1
"SS End Cap 1 1/2""","SS End Cap 1 1/2""",1,Nos,8,All Item Groups,1,1,1
SS Flexibel Hose 60CM,SS Flexibel Hose 60CM,2,Pcs,7.5,All Item Groups,1,1,1
S.S Flexible Hose Fxb 50cm-1 1/4,S.S Flexible Hose Fxb 50cm-1 1/4,2,Nos,133.34,All Item Groups,1,1,1
"SS Flexible Pipe 1/2"" x 90cm-3FT","SS Flexible Pipe 1/2"" x 90cm-3FT",2,Nos,10,All Item Groups,1,1,1
S S GRUB SCREWS,S S GRUB SCREWS,2,Nos,4.76,All Item Groups,1,1,1
"SS Header 1"" Booster 2BR 460MM","SS Header 1"" Booster 2BR 460MM",2,Pcs,84,All Item Groups,1,1,1
"SS Header 1""Suction 2BR 460MM","SS Header 1""Suction 2BR 460MM",2,Pcs,70,All Item Groups,1,1,1
"SS Header 11/2"" Transfer 2Br 460MM","SS Header 11/2"" Transfer 2Br 460MM",2,Nos,129,All Item Groups,1,1,1
"SS Header 1 1/4"" Booster 2BR 600MM","SS Header 1 1/4"" Booster 2BR 600MM",2,Pcs,130,All Item Groups,1,1,1
"SS Header 1 1/4"" Suction 2BR 460MM","SS Header 1 1/4"" Suction 2BR 460MM",2,Pcs,90,All Item Groups,1,1,1
"SS Hex Nipple 1-1.25"" - 316","SS Hex Nipple 1-1.25"" - 316",1,Nos,12,All Item Groups,1,1,1
"SS Hex Nipple 1.5"" -316","SS Hex Nipple 1.5"" -316",1,Nos,18,All Item Groups,1,1,1
Ss Hole Saw 20MM,Ss Hole Saw 20MM,1,Nos,15,All Item Groups,1,1,1
S.S M/Screw Csk Ph 70MM,S.S M/Screw Csk Ph 70MM,10,Nos,2.42,All Item Groups,1,1,1
"SS Nipple 1""","SS Nipple 1""",8,Nos,5.2,All Item Groups,1,1,1
"SS Nipple 1 1/2""","SS Nipple 1 1/2""",4,Nos,10,All Item Groups,1,1,1
"SS Nipple 1 1/4""","SS Nipple 1 1/4""",13,Nos,8.23,All Item Groups,1,1,1
S.S NUT,S.S NUT,10,Nos,0.8,All Item Groups,1,1,1
SS POP Up Waste Feroplast,SS POP Up Waste Feroplast,1,Nos,20,All Item Groups,1,1,1
"SS Reducing Bush 1 1/2"" x 11/4""","SS Reducing Bush 1 1/2"" x 11/4""",4,Pcs,6.8,All Item Groups,1,1,1
"SS Reducing Bush 1/2"" x 1/4""","SS Reducing Bush 1/2"" x 1/4""",4,Pcs,5,All Item Groups,1,1,1
SSS 10x1 1/2,SSS 10x1 1/2,500,Nos,0.12,All Item Groups,1,1,1
SS Screws Pan Head 4819,SS Screws Pan Head 4819,50,Pcs,0.37,All Item Groups,1,1,1
SS Self Tapping Screw Pan Head Star 10*1/2,SS Self Tapping Screw Pan Head Star 10*1/2,25,Nos,0.15,All Item Groups,1,1,1
SS U Channel 20x20x.5MM,SS U Channel 20x20x.5MM,1,Nos,35,All Item Groups,1,1,1
SS U Clamp 316,SS U Clamp 316,3,Pcs,45,All Item Groups,1,1,1
"SS Union 1 1/2""","SS Union 1 1/2""",1,Nos,35,All Item Groups,1,1,1
"SS Union 1 1/4""","SS Union 1 1/4""",1,Nos,25,All Item Groups,1,1,1
ST45 Led Bulb E27 2W Warm White 220V,ST45 Led Bulb E27 2W Warm White 220V,,,,All Item Groups,1,1,1
Staff Entrance Door Work,Staff Entrance Door Work,,,,All Item Groups,1,1,1
Staff entrance roof work,Staff entrance roof work,,,,All Item Groups,1,1,1
Stain ASP,Stain ASP,1,Nos,55,All Item Groups,1,1,1
Stainless Steel Pull Handle on Pull Plate 300x100MM,Stainless Steel Pull Handle on Pull Plate 300x100MM,1,Nos,35,All Item Groups,1,1,1
Staircase wooden cladding work,Staircase wooden cladding work,,,,All Item Groups,1,1,1
Stair Tile repair and fixing of Matel stirp on door,Stair Tile repair and fixing of Matel stirp on door,,,,All Item Groups,1,1,1
Stanley Knife Blade 5pcs,Stanley Knife Blade 5pcs,1,Nos,6,All Item Groups,1,1,1
Stanley Measuring Tape 5Mtr,Stanley Measuring Tape 5Mtr,3,Nos,18.67,All Item Groups,1,1,1
"Stanley SS Cutting Disc 4-1/2""","Stanley SS Cutting Disc 4-1/2""",25,Nos,2.2,All Item Groups,1,1,1
Starbit PH1 65mm,Starbit PH1 65mm,1,Pcs,3,All Item Groups,1,1,1
Star Bit PH2 150MM,Star Bit PH2 150MM,2,Pcs,3,All Item Groups,1,1,1
Star Bit PH2 65MM,Star Bit PH2 65MM,1,Pkt,15,All Item Groups,1,1,1
"Starke Corrugated FAstener 1/2""","Starke Corrugated FAstener 1/2""",1,Nos,8,All Item Groups,1,1,1
"Starke Corrugated FAstener 3/8""","Starke Corrugated FAstener 3/8""",1,Pkt,8,All Item Groups,1,1,1
Starke Corrugated FAstener 5/8 X5,Starke Corrugated FAstener 5/8 X5,2,Pkt,8,All Item Groups,1,1,1
Steel Bar 10MM 6Mtr,Steel Bar 10MM 6Mtr,,,,All Item Groups,1,1,1
Steel Nail,Steel Nail,1,Pkt,2.5,All Item Groups,1,1,1
STEEL PUTTY SPEED,STEEL PUTTY SPEED,1,LTR,24,All Item Groups,1,1,1
Steel Rod 6MM x 6Mtr,Steel Rod 6MM x 6Mtr,2,Nos,8,All Item Groups,1,1,1
Steel Rod 8MM x 6Mtr,Steel Rod 8MM x 6Mtr,10,Nos,9,All Item Groups,1,1,1
Steel Shelf Support Hexagon 10x200MM,Steel Shelf Support Hexagon 10x200MM,11,Pcs,10,All Item Groups,1,1,1
Step Drilll Bit 3Pcs Set,Step Drilll Bit 3Pcs Set,1,Nos,50,All Item Groups,1,1,1
Stertech Film Big,Stertech Film Big,1,Nos,60,All Item Groups,1,1,1
Sticker for Emergenct Number,Sticker for Emergenct Number,1,Nos,4,All Item Groups,1,1,1
Sticker Giveway Green,Sticker Giveway Green,1,Nos,4,All Item Groups,1,1,1
Stopp Flit Rug Under,Stopp Flit Rug Under,33,Pcs,24.27,All Item Groups,1,1,1
Stopp N Anti Slip,Stopp N Anti Slip,56,Pcs,8.57,All Item Groups,1,1,1
Stretch Flim,Stretch Flim,9,Roll,22.78,All Item Groups,1,1,1
Striking Plate,Striking Plate,4,Nos,1,All Item Groups,1,1,1
STUCCO 20Ltr Jotun,STUCCO 20Ltr Jotun,2,DRUM,60,All Item Groups,1,1,1
Stucco Filler 20,Stucco Filler 20,,,,All Item Groups,1,1,1
Stuccofiller 4Ltr Jotun,Stuccofiller 4Ltr Jotun,1,Gln,22,All Item Groups,1,1,1
Subzero Compartment A TEKA Drawer LID CI2 330,Subzero Compartment A TEKA Drawer LID CI2 330,2,Pcs,66.67,All Item Groups,1,1,1
"SUCTIONiNLET ( VACCUM) 2"" with SS FP & ABS Body","SUCTIONiNLET ( VACCUM) 2"" with SS FP & ABS Body",1,Nos,145,All Item Groups,1,1,1
Sukabumi Porcelain Tile Sapphire Dark,Sukabumi Porcelain Tile Sapphire Dark,9.72,Sqm,105,All Item Groups,1,1,1
Sukabumi Porcelain Tile Sapphire Light,Sukabumi Porcelain Tile Sapphire Light,40.86,Sqm,105.62,All Item Groups,1,1,1
Sukabumi Porcelain Tile Sapphire Medium,Sukabumi Porcelain Tile Sapphire Medium,17.46,Sqm,110.36,All Item Groups,1,1,1
Sukabumi Porcelain Tile Sapphire Pattern,Sukabumi Porcelain Tile Sapphire Pattern,4.68,Sqm,103.46,All Item Groups,1,1,1
"Sundex Pop Up Waste CP 11/4""","Sundex Pop Up Waste CP 11/4""",1,Pcs,15,All Item Groups,1,1,1
Sun Weld Lubricant India 949ML,Sun Weld Lubricant India 949ML,1,Nos,20,All Item Groups,1,1,1
Super Filler 1.5kg,Super Filler 1.5kg,30,Pkt,5,All Item Groups,1,1,1
Super Glue,Super Glue,2,Nos,1.5,All Item Groups,1,1,1
Super Glue 3G,Super Glue 3G,202,Nos,1.2,All Item Groups,1,1,1
Super Glue Tube 3Grm Fevicol,Super Glue Tube 3Grm Fevicol,5,Nos,1.25,All Item Groups,1,1,1
Super Mastics Solid White 1Kg,Super Mastics Solid White 1Kg,2,Pcs,15.95,All Item Groups,1,1,1
Supplu of Sandwich Roof Panel Insulation,Supplu of Sandwich Roof Panel Insulation,13.5,Sqm,70.5,All Item Groups,1,1,1
Supply Air Diffuser - 4 Way,Supply Air Diffuser - 4 Way,6,Nos,98,All Item Groups,1,1,1
Supply and Application of Red Oxide Primer,Supply and Application of Red Oxide Primer,,,,All Item Groups,1,1,1
Supply and Delivery of Common area material,Supply and Delivery of Common area material,,,,All Item Groups,1,1,1
Supply and delivery of common area materials,Supply and delivery of common area materials,,,,All Item Groups,1,1,1
Supply and delivery of shower drain channel 900mm Wide,Supply and delivery of shower drain channel 900mm Wide,,,,All Item Groups,1,1,1
Supply and Installation Manual Retractable Awing,Supply and Installation Manual Retractable Awing,1,Lot,3600,All Item Groups,1,1,1
Supply and installation of 45cm Dishwasher,Supply and installation of 45cm Dishwasher,,,,All Item Groups,1,1,1
Supply and installation of access panels,Supply and installation of access panels,,,,All Item Groups,1,1,1
Supply and installation of air curtain,Supply and installation of air curtain,,,,All Item Groups,1,1,1
Supply and installation of Cupboard shelves,Supply and installation of Cupboard shelves,,,,All Item Groups,1,1,1
Supply and installation of dishwasher,Supply and installation of dishwasher,,,,All Item Groups,1,1,1
Supply and installation of Dishwasher and various work,Supply and installation of Dishwasher and various work,,,,All Item Groups,1,1,1
Supply and installation of Hand Shower,Supply and installation of Hand Shower,,,,All Item Groups,1,1,1
Supply And Installation Of Heat Pump,Supply And Installation Of Heat Pump,,,,All Item Groups,1,1,1
Supply and Installation of LED Light for Chindlier,Supply and Installation of LED Light for Chindlier,,,,All Item Groups,1,1,1
Supply and installation of new door,Supply and installation of new door,,,,All Item Groups,1,1,1
Supply and installation of new door handle and lock cylinder cover,Supply and installation of new door handle and lock cylinder cover,,,,All Item Groups,1,1,1
Supply and installation of Oventrop Actuator,Supply and installation of Oventrop Actuator,,,,All Item Groups,1,1,1
Supply and Installation of shelves 4 Nos,Supply and Installation of shelves 4 Nos,,,,All Item Groups,1,1,1
Supply and installation of speaker’s wooden box,Supply and installation of speaker’s wooden box,,,,All Item Groups,1,1,1
Supply and Installation of Water Heater Element,Supply and Installation of Water Heater Element,,,,All Item Groups,1,1,1
Supply and replacement of actuator danfoss 24 volt,Supply and replacement of actuator danfoss 24 volt,,,,All Item Groups,1,1,1
Supply and replacement of door leaf,Supply and replacement of door leaf,,,,All Item Groups,1,1,1
Supply and replacement of Hansgrohe shutoff,Supply and replacement of Hansgrohe shutoff,,,,All Item Groups,1,1,1
Supply and replacement of light driver,Supply and replacement of light driver,,,,All Item Groups,1,1,1
Supply and replacement of Roca single lever washbasin mixer cartridge,Supply and replacement of Roca single lever washbasin mixer cartridge,,,,All Item Groups,1,1,1
Supply and replacement of SS breaded hose for water heater,Supply and replacement of SS breaded hose for water heater,,,,All Item Groups,1,1,1
Supply & delivery of Flush kit Part,Supply & delivery of Flush kit Part,,,,All Item Groups,1,1,1
Supply & Delivery of PVC Fabric Mesh,Supply & Delivery of PVC Fabric Mesh,,,,All Item Groups,1,1,1
Supply & delivery of Shutoff with gold coated,Supply & delivery of Shutoff with gold coated,,,,All Item Groups,1,1,1
Supply & delivery of solid wood door & cupboard frame,Supply & delivery of solid wood door & cupboard frame,,,,All Item Groups,1,1,1
Supply for (1D+1S) Pump Connection Set,Supply for (1D+1S) Pump Connection Set,1,Lot,600,All Item Groups,1,1,1
Supply & installation lutron curtain motor.,Supply & installation lutron curtain motor.,,,,All Item Groups,1,1,1
Supply & installation of 3 lights and 1Driver,Supply & installation of 3 lights and 1Driver,,,,All Item Groups,1,1,1
Supply & installation of Awnings,Supply & installation of Awnings,,,,All Item Groups,1,1,1
Supply & Installation of Ceramic Tiles,Supply & Installation of Ceramic Tiles,,,,All Item Groups,1,1,1
"Supply & installation of floor trap guard 4"".","Supply & installation of floor trap guard 4"".",,,,All Item Groups,1,1,1
"Supply & installation of Floor trap gurd 4""","Supply & installation of Floor trap gurd 4""",,,,All Item Groups,1,1,1
Supply & installation of frosted glass work,Supply & installation of frosted glass work,,,,All Item Groups,1,1,1
Supply & Installation of Main and service door lock cylinder work,Supply & Installation of Main and service door lock cylinder work,,,,All Item Groups,1,1,1
"Supply & installation of refrigerator door hinges, door & refrigerator alignment","Supply & installation of refrigerator door hinges, door & refrigerator alignment",,,,All Item Groups,1,1,1
Supply & Installation of TV wall MDF Cladding with reinforcementVariation work,Supply & Installation of TV wall MDF Cladding with reinforcementVariation work,,,,All Item Groups,1,1,1
Supply & installation of Waterfall controller WP encloser & relocation work,Supply & installation of Waterfall controller WP encloser & relocation work,,,,All Item Groups,1,1,1
Supply & Installation of Wine Cooler,Supply & Installation of Wine Cooler,,,,All Item Groups,1,1,1
Supply of Air Vent,Supply of Air Vent,1,Nos,20.01,All Item Groups,1,1,1
Supply Of Civil Materails,Supply Of Civil Materails,,,,All Item Groups,1,1,1
Supply of Direct Drive Exhaust Fan,Supply of Direct Drive Exhaust Fan,1,Nos,1150,All Item Groups,1,1,1
Supply Of Electrician,Supply Of Electrician,,,,All Item Groups,1,1,1
Supply of Fabric for Roller Blinds,Supply of Fabric for Roller Blinds,17,Nos,65,All Item Groups,1,1,1
Supply of Jotun wall paint Jotashield superior exterior Topcoat Matt Beige color for Pool wall,Supply of Jotun wall paint Jotashield superior exterior Topcoat Matt Beige color for Pool wall,,,,All Item Groups,1,1,1
Supply Of Motor For Roman Blinds,Supply Of Motor For Roman Blinds,3,Nos,800,All Item Groups,1,1,1
Supply of New Blinds and Modification,Supply of New Blinds and Modification,1,Lot,1800,All Item Groups,1,1,1
Supply of new L shape shelf,Supply of new L shape shelf,,,,All Item Groups,1,1,1
Supply of same new three shelves with all,Supply of same new three shelves with all,,,,All Item Groups,1,1,1
Supply of Stone Lemar Stone,Supply of Stone Lemar Stone,1,Lot,714.29,All Item Groups,1,1,1
Supply Of Tube & Accessories,Supply Of Tube & Accessories,2,Lot,505.63,All Item Groups,1,1,1
Supply & repacement oof Refrigerator drawer cover,Supply & repacement oof Refrigerator drawer cover,,,,All Item Groups,1,1,1
Supply & replacement of door locks work,Supply & replacement of door locks work,,,,All Item Groups,1,1,1
Supply & replacement of Gessi washbasin mixer,Supply & replacement of Gessi washbasin mixer,,,,All Item Groups,1,1,1
Supply & replacement of Teka Gas oven Full door,Supply & replacement of Teka Gas oven Full door,,,,All Item Groups,1,1,1
Supply & replacement of vanitydoor magnetic push button,Supply & replacement of vanitydoor magnetic push button,,,,All Item Groups,1,1,1
Suppy And Installation Of Glass Work,Suppy And Installation Of Glass Work,,,,All Item Groups,1,1,1
Surform,Surform,1,Nos,47.61,All Item Groups,1,1,1
Swiss LED SMD2835 LED Strip Light 120LED 9.6W/M DC2,Swiss LED SMD2835 LED Strip Light 120LED 9.6W/M DC2,15,Mtr,16,All Item Groups,1,1,1
Switch Box GI 1 Gang,Switch Box GI 1 Gang,5,Nos,1.2,All Item Groups,1,1,1
Switch Box GI 2 Gang,Switch Box GI 2 Gang,4,Pcs,1.9,All Item Groups,1,1,1
Switch Box PVC 1 Gang Rexton,Switch Box PVC 1 Gang Rexton,5,Pcs,1.1,All Item Groups,1,1,1
Switch Box PVC 2 Gang Rexton,Switch Box PVC 2 Gang Rexton,5,Pcs,1.85,All Item Groups,1,1,1
Switch Frame Half/Double Rocker 1 GAng MilleniumABB,Switch Frame Half/Double Rocker 1 GAng MilleniumABB,1,Pcs,58,All Item Groups,1,1,1
Switch Frame Rocker 1gang AMD5120-ST Millenium ABB,Switch Frame Rocker 1gang AMD5120-ST Millenium ABB,1,Nos,56,All Item Groups,1,1,1
Switch Half Rocker 1 Gang 2 Way Millenium ABB,Switch Half Rocker 1 Gang 2 Way Millenium ABB,1,Pcs,25,All Item Groups,1,1,1
Switch Premium Rockers 1 Gang 2 Way MilleniumABB,Switch Premium Rockers 1 Gang 2 Way MilleniumABB,,,,All Item Groups,1,1,1
Switch Small Rocker 1 Gang 2 Way Meillenium ABB,Switch Small Rocker 1 Gang 2 Way Meillenium ABB,,,,All Item Groups,1,1,1
Switch Socket MK MS+2G 13A,Switch Socket MK MS+2G 13A,5,Pcs,130,All Item Groups,1,1,1
Switch Socket Schneider 250V 2G 13A KB25,Switch Socket Schneider 250V 2G 13A KB25,3,Nos,14,All Item Groups,1,1,1
Syscap 7.5UF Capacitor,Syscap 7.5UF Capacitor,1,Nos,10,All Item Groups,1,1,1
T5 Tube Rod 54W/840,T5 Tube Rod 54W/840,2,Nos,10,All Item Groups,1,1,1
Tank Cleaning,Tank Cleaning,,,,All Item Groups,1,1,1
Tap Mixer Hot Water Line Rectification Work,Tap Mixer Hot Water Line Rectification Work,,,,All Item Groups,1,1,1
TBB2001-WW LED Flat Light Warm White 21W 230Dia,TBB2001-WW LED Flat Light Warm White 21W 230Dia,3,Nos,220,All Item Groups,1,1,1
Technolight Aluminum Profile Case,Technolight Aluminum Profile Case,16,Mtr,13,All Item Groups,1,1,1
Teflon Tape,Teflon Tape,285,Pcs,0.56,All Item Groups,1,1,1
TElescopic Handle L 9 Mtr,TElescopic Handle L 9 Mtr,1,Nos,160,All Item Groups,1,1,1
Terminal  Block 4.0 MM,Terminal  Block 4.0 MM,10,Nos,1,All Item Groups,1,1,1
Terminal Block 6.5MM,Terminal Block 6.5MM,10,Nos,1.5,All Item Groups,1,1,1
Terminal Block Stopper,Terminal Block Stopper,8,Pcs,1,All Item Groups,1,1,1
Terminal Clip L Shape Heavey,Terminal Clip L Shape Heavey,1,Pkt,14.29,All Item Groups,1,1,1
Terminal Clip Straight Heavy,Terminal Clip Straight Heavy,1,Pkt,14.29,All Item Groups,1,1,1
