Item Code,Item Name,Total Projected Qty,Default Unit of Measure,Standard Selling Rate,Item Group,Auto Create Assets on Purchase,Minimum Order Qty,Allow Purchase
Door B/S Angere Verneer Pressing,Door B/S Angere Verneer Pressing,,,,Veneer Pressing Work,1,1,1
Door B/S Ash Crown Pressing,Door B/S Ash Crown Pressing,,,,Veneer Pressing Work,1,1,1
Door B/S Ash Quater Pressing,Door B/S Ash Quater Pressing,,,,Veneer Pressing Work,1,1,1
Door B/S Beach Crown Pressing,Door B/S Beach Crown Pressing,,,,Veneer Pressing Work,1,1,1
Door B/S Beech Crown Pressing,Door B/S Beech Crown Pressing,,,,Veneer Pressing Work,1,1,1
Door B/S MDF Pressing O/S Laminate O/S Beech Quarte,Door B/S MDF Pressing O/S Laminate O/S Beech Quarte,,,,Veneer Pressing Work,1,1,1
Door B/S Normal Pressing,Door B/S Normal Pressing,,,,Veneer Pressing Work,1,1,1
Door B/S Normal Pressing &B/S Beech Quarter Pressing,Door B/S Normal Pressing &B/S Beech Quarter Pressing,,,,Veneer Pressing Work,1,1,1
Door B/S Normal Pressing & B/S Red Oak Crown Pressin,Door B/S Normal Pressing & B/S Red Oak Crown Pressin,,,,Veneer Pressing Work,1,1,1
Door B/S Normal Pressing & B/S Veneer Pressing,Door B/S Normal Pressing & B/S Veneer Pressing,,,,Veneer Pressing Work,1,1,1
Door B/S Reccon Argento,Door B/S Reccon Argento,,,,Veneer Pressing Work,1,1,1
Door B/S Red Oak Crown Pressing,Door B/S Red Oak Crown Pressing,,,,Veneer Pressing Work,1,1,1
Door B/S Sanding and B/S Pressing,Door B/S Sanding and B/S Pressing,,,,Veneer Pressing Work,1,1,1
Door B/S Sanding B/S Ash Quarter,Door B/S Sanding B/S Ash Quarter,,,,Veneer Pressing Work,1,1,1
Door B/S Sanding B/S Beech Crown Pressing,Door B/S Sanding B/S Beech Crown Pressing,,,,Veneer Pressing Work,1,1,1
Door B/S Sanding B/S Beech Quarter Pressing,Door B/S Sanding B/S Beech Quarter Pressing,,,,Veneer Pressing Work,1,1,1
Door B/S Sanding B/S Beech Veneer Pressing,Door B/S Sanding B/S Beech Veneer Pressing,,,,Veneer Pressing Work,1,1,1
Door B/S Sanding +  B/S Cherry Quarter Pressing,Door B/S Sanding +  B/S Cherry Quarter Pressing,,,,Veneer Pressing Work,1,1,1
Door B/S Sanding B/S Normal Pressing,Door B/S Sanding B/S Normal Pressing,,,,Veneer Pressing Work,1,1,1
Door B/S Sanding B/S Recon Ebony,Door B/S Sanding B/S Recon Ebony,,,,Veneer Pressing Work,1,1,1
Door B/S Sanding B/S Recon White Oak Quarter MMM,Door B/S Sanding B/S Recon White Oak Quarter MMM,,,,Veneer Pressing Work,1,1,1
Door B/S Sanding B/S Veneer (Client ) Pressing,Door B/S Sanding B/S Veneer (Client ) Pressing,,,,Veneer Pressing Work,1,1,1
Door B/S Sanding B/S Walnut Qurater,Door B/S Sanding B/S Walnut Qurater,,,,Veneer Pressing Work,1,1,1
Door B/S Sanding B/S White Oak Quarter Pressing,Door B/S Sanding B/S White Oak Quarter Pressing,,,,Veneer Pressing Work,1,1,1
Door B/S Sanding O/S Laminate O/S Beech Quarter Pre,Door B/S Sanding O/S Laminate O/S Beech Quarter Pre,,,,Veneer Pressing Work,1,1,1
Door O/S Laminate O/S Beech Quarter Pressing,Door O/S Laminate O/S Beech Quarter Pressing,,,,Veneer Pressing Work,1,1,1
Door O/S Sanding B/S Stone Grey 151m581,Door O/S Sanding B/S Stone Grey 151m581,,,,Veneer Pressing Work,1,1,1
Door O/S Sanding O/S Laminate Pressing,Door O/S Sanding O/S Laminate Pressing,,,,Veneer Pressing Work,1,1,1
Elitemore Crown B/S Pressing,Elitemore Crown B/S Pressing,,,,Veneer Pressing Work,1,1,1
EliteMore Crown O/S Backing Pressing,EliteMore Crown O/S Backing Pressing,,,,Veneer Pressing Work,1,1,1
Fabrication of MS Frame Using MS Tube 30*30,Fabrication of MS Frame Using MS Tube 30*30,,,,Veneer Pressing Work,1,1,1
Fabrication of Sliding Door,Fabrication of Sliding Door,,,,Veneer Pressing Work,1,1,1
FR 18mm Slotted Boarded,FR 18mm Slotted Boarded,,,,Veneer Pressing Work,1,1,1
Iroko Brown B/S Pressing,Iroko Brown B/S Pressing,,,,Veneer Pressing Work,1,1,1
Iroko Brown O/S Backing Pressing,Iroko Brown O/S Backing Pressing,,,,Veneer Pressing Work,1,1,1
Laminate,Laminate,,,,Veneer Pressing Work,1,1,1
